sequence_file,lineage,confidence,classification_notes,cell,reads,correct
intermediates/subsamples/plate0-C10.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C10,1000000,0
intermediates/subsamples/plate0-C10.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C10,2500000,0
intermediates/subsamples/plate0-C10.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C10,5000000,0
intermediates/subsamples/plate0-C11.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C11,100000,0
intermediates/subsamples/plate0-C11.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C11,250000,0
intermediates/subsamples/plate0-C11.500000.0.bam,T12,1.0,Usher placements: T12(42/42),plate0-C11,500000,1
intermediates/subsamples/plate0-C11.1000000.0.bam,T12,1.0,Usher placements: T12(42/42),plate0-C11,1000000,1
intermediates/subsamples/plate0-C11.2500000.0.bam,T12,1.0,Usher placements: T12(42/42),plate0-C11,2500000,1
intermediates/subsamples/plate0-C11.5000000.0.bam,T12,1.0,Usher placements: T12(42/42),plate0-C11,5000000,1
intermediates/subsamples/plate0-C12.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C12,100000,0
intermediates/subsamples/plate0-C12.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C12,250000,0
intermediates/subsamples/plate0-C12.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C12,500000,0
intermediates/subsamples/plate0-C12.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C12,1000000,0
intermediates/subsamples/plate0-C12.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C12,2500000,0
intermediates/subsamples/plate0-C12.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C12,5000000,0
intermediates/subsamples/plate0-C1.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C1,100000,0
intermediates/subsamples/plate0-C1.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C1,250000,0
intermediates/subsamples/plate0-C1.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C1,500000,0
intermediates/subsamples/plate0-C1.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C1,1000000,0
intermediates/subsamples/plate0-C1.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C1,2500000,0
intermediates/subsamples/plate0-C1.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C1,5000000,0
intermediates/subsamples/plate0-C2.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C2,100000,0
intermediates/subsamples/plate0-C2.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C2,250000,0
intermediates/subsamples/plate0-C2.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C2,500000,0
intermediates/subsamples/plate0-C2.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C2,1000000,0
intermediates/subsamples/plate0-C2.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C2,2500000,0
intermediates/subsamples/plate0-C2.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C2,5000000,0
intermediates/subsamples/plate0-C3.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C3,100000,0
intermediates/subsamples/plate0-C3.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C3,250000,0
intermediates/subsamples/plate0-C3.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C3,500000,0
intermediates/subsamples/plate0-C3.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C3,1000000,0
intermediates/subsamples/plate0-C3.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C3,2500000,0
intermediates/subsamples/plate0-C3.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C3,5000000,0
intermediates/subsamples/plate0-C4.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C4,100000,0
intermediates/subsamples/plate0-C4.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C4,250000,0
intermediates/subsamples/plate0-C4.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C4,500000,0
intermediates/subsamples/plate0-C4.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C4,1000000,0
intermediates/subsamples/plate0-C4.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C4,2500000,0
intermediates/subsamples/plate0-C4.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C4,5000000,0
intermediates/subsamples/plate0-C5.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C5,100000,0
intermediates/subsamples/plate0-C5.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C5,250000,0
intermediates/subsamples/plate0-C5.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C5,500000,0
intermediates/subsamples/plate0-C5.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C5,1000000,0
intermediates/subsamples/plate0-C5.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C5,2500000,0
intermediates/subsamples/plate0-C5.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C5,5000000,0
intermediates/subsamples/plate0-C6.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C6,100000,0
intermediates/subsamples/plate0-C6.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C6,250000,0
intermediates/subsamples/plate0-C6.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C6,500000,0
intermediates/subsamples/plate0-C6.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C6,1000000,0
intermediates/subsamples/plate0-C6.2500000.0.bam,UNDEFINED,0.5604250990763493,Usher placements: T12(58/79) UNDEFINED(21/79),plate0-C6,2500000,0
intermediates/subsamples/plate0-C6.5000000.0.bam,UNDEFINED,0.5604250990763493,Usher placements: T12(58/79) UNDEFINED(21/79),plate0-C6,5000000,0
intermediates/subsamples/plate0-C7.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C7,100000,0
intermediates/subsamples/plate0-C7.250000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C7,250000,0
intermediates/subsamples/plate0-C7.500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C7,500000,0
intermediates/subsamples/plate0-C7.1000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C7,1000000,0
intermediates/subsamples/plate0-C7.2500000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C7,2500000,0
intermediates/subsamples/plate0-C7.5000000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C7,5000000,0
intermediates/subsamples/plate0-C8.100000.0.bam,UNDEFINED,0.501773944369225,Usher placements: T12(58/107) UNDEFINED(49/107),plate0-C8,100000,0
